Kuh ID;Kuh / Faerse;Gekalbt (ja / nein);Alarm Qualitaet;Alarm Zeitpunkt;Umstallzeit;Zeitraum Alarm-Umstallzeit [h]
514;Kuh;nein;HA1h;2017-10-04 01:20:00;;
514;Kuh;nein;HA1h;2017-10-04 13:54:00;;
514;Kuh;nein;HA1h;2017-10-05 14:07:00;;
514;Kuh;nein;HA2h;2017-10-05 15:17:00;;
3588;Kuh;ja;HA1h;2017-11-03 09:08:00;2017-11-10 12:30:00;171,36666666666667
3588;Kuh;ja;HA1h;2017-11-07 00:04:00;2017-11-10 12:30:00;84,43333333333334
3588;Kuh;ja;HA1h;2017-11-08 11:04:00;2017-11-10 12:30:00;49,43333333333333
3588;Kuh;ja;HA1h;2017-11-09 15:02:00;2017-11-10 12:30:00;21,466666666666665
3588;Kuh;ja;HA1h;2017-11-10 10:20:00;2017-11-10 12:30:00;2,1666666666666665
3588;Kuh;ja;HA2h;2017-11-08 12:04:00;2017-11-10 12:30:00;48,43333333333333
3588;Kuh;ja;HA2h;2017-11-09 16:02:00;2017-11-10 12:30:00;20,466666666666665
3588;Kuh;ja;HA2h;2017-11-10 11:20:00;2017-11-10 12:30:00;1,1666666666666667
2566;Faerse;ja;HA1h;2017-10-09 17:44:00;2017-10-09 17:30:00;-0,23333333333333334
3591;Kuh;ja;HA1h;2017-11-01 05:27:00;2017-11-01 11:30:00;6,05
3591;Kuh;ja;HA1h;2017-11-01 09:24:00;2017-11-01 11:30:00;2,1
3591;Kuh;ja;HA2h;2017-11-01 06:27:00;2017-11-01 11:30:00;5,05
3591;Kuh;ja;HA2h;2017-11-01 10:13:00;2017-11-01 11:30:00;1,2833333333333334
2572;Kuh;nein;HA1h;2017-10-03 14:39:00;;
2572;Kuh;nein;HA1h;2017-10-04 02:24:00;;
2572;Kuh;nein;HA1h;2017-10-04 15:39:00;;
2572;Kuh;nein;HA1h;2017-10-05 12:42:00;;
2572;Kuh;nein;HA2h;2017-10-03 15:39:00;;
2572;Kuh;nein;HA2h;2017-10-04 16:39:00;;
2574;Kuh;nein;HA1h;2017-09-29 18:32:00;;
2574;Kuh;nein;HA1h;2017-09-30 20:49:00;;
2574;Kuh;nein;HA1h;2017-10-01 08:50:00;;
2574;Kuh;nein;HA1h;2017-10-02 14:25:00;;
2574;Kuh;nein;HA2h;2017-09-29 19:32:00;;
2574;Kuh;nein;HA2h;2017-10-01 09:50:00;;
2574;Kuh;nein;HA2h;2017-10-02 15:25:00;;
527;Kuh;ja;HA1h;2017-10-24 10:41:00;2017-10-26 02:30:00;39,81666666666667
527;Kuh;ja;HA1h;2017-10-25 02:47:00;2017-10-26 02:30:00;23,716666666666665
527;Kuh;ja;HA2h;2017-10-24 11:41:00;2017-10-26 02:30:00;38,81666666666667
2576;Faerse;ja;HA1h;2017-10-07 04:39:00;2017-10-07 06:30:00;1,85
2576;Faerse;ja;HA1h;2017-09-29 17:50:00;2017-10-07 06:30:00;180,66666666666666
2576;Faerse;ja;HA2h;2017-10-07 05:26:00;2017-10-07 06:30:00;1,0666666666666667
2577;Kuh;nein;HA1h;2017-10-07 16:37:00;;
2577;Kuh;nein;HA2h;2017-10-07 17:36:00;;
2578;Faerse;ja;HA1h;2017-10-02 02:03:00;2017-10-02 02:00:00;-0,05
2578;Faerse;ja;HA1h;2017-09-30 09:32:00;2017-10-02 02:00:00;40,46666666666667
2578;Faerse;ja;HA2h;2017-10-02 03:03:00;2017-10-02 02:00:00;-1,05
2578;Faerse;ja;HA2h;2017-09-30 10:31:00;2017-10-02 02:00:00;39,483333333333334
1045;Kuh;ja;HA1h;2017-10-04 14:33:00;2017-10-04 15:30:00;0,95
1045;Kuh;ja;HA2h;2017-10-04 15:21:00;2017-10-04 15:30:00;0,15
2588;Kuh;nein;HA1h;2017-10-06 00:17:00;;
2590;Kuh;nein;HA1h;2017-10-08 19:12:00;;
2590;Kuh;nein;HA1h;2017-10-09 00:46:00;;
2594;Kuh;nein;HA1h;2017-10-17 20:13:00;;
2595;Faerse;ja;HA1h;2017-10-15 13:22:00;2017-10-15 16:00:00;2,6333333333333333
2595;Faerse;ja;HA2h;2017-10-15 14:22:00;2017-10-15 16:00:00;1,6333333333333333
