Kuh ID;Kuh / Faerse;Gekalbt (ja / nein);Erster SonT;Anzahl HA1-Alarme;HA1_1;HA1_2;HA1_3;HA1_4;HA1_5;HA1_6;HA1_7;HA1_8;HA1_9;HA1_10;HA1_11;HA1_12;HA1_13;HA1_14;HA1_15;HA1_16;HA1_17;HA1_18;Anzahl HA2-Alarme;HA2_1;HA2_2;HA2_3;HA2_4;HA2_5;HA2_6;HA2_7;HA2_8;HA2_9;Umstallzeit;dt HA1_1 [h];dt HA1_2 [h];dt HA1_3 [h];dt HA1_4 [h];dt HA1_5 [h];dt HA1_6 [h];dt HA1_7 [h];dt HA1_8 [h];dt HA1_9 [h];dt HA1_10 [h];dt HA1_11 [h];dt HA1_12 [h];dt HA1_13 [h];dt HA1_14 [h];dt HA1_15 [h];dt HA1_16 [h];dt HA1_17 [h];dt HA1_18 [h];dt HA2_1 [h];dt HA2_2 [h];dt HA2_3 [h];dt HA2_4 [h];dt HA2_5 [h];dt HA2_6 [h];dt HA2_7 [h];dt HA2_8 [h];dt HA2_9 [h]
514;Kuh;nein;2017-10-02 03:00:00;3;2017-10-04 01:20:00;2017-10-04 13:54:00;2017-10-05 14:07:00;;;;;;;;;;;;;;;;1;2017-10-05 15:17:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3588;Kuh;ja;2017-10-28 00:20:00;5;2017-11-03 09:08:00;2017-11-07 00:04:00;2017-11-08 11:04:00;2017-11-09 15:02:00;2017-11-10 10:20:00;;;;;;;;;;;;;;3;2017-11-08 12:04:00;2017-11-09 16:02:00;2017-11-10 11:20:00;;;;;;;2017-11-10 12:30:00;171,36666666666667;84,43333333333334;49,43333333333333;21,466666666666665;2,1666666666666665;;;;;;;;;;;;;;48,43333333333333;20,466666666666665;1,1666666666666667;;;;;;
5;Kuh;nein;2017-10-03 08:20:00;0;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2566;Faerse;ja;2017-10-09 09:30:00;1;2017-10-09 17:44:00;;;;;;;;;;;;;;;;;;0;;;;;;;;;;2017-10-09 17:30:00;-0,23333333333333334;;;;;;;;;;;;;;;;;;;;;;;;;;
3591;Kuh;ja;2017-11-01 02:20:00;2;2017-11-01 05:27:00;2017-11-01 09:24:00;;;;;;;;;;;;;;;;;2;2017-11-01 06:27:00;2017-11-01 10:13:00;;;;;;;;2017-11-01 11:30:00;6,05;2,1;;;;;;;;;;;;;;;;;5,05;1,2833333333333334;;;;;;;
2571;Faerse;ja;2017-10-06 05:10:00;0;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;2017-10-06 07:30:00;;;;;;;;;;;;;;;;;;;;;;;;;;;
2572;Kuh;nein;2017-10-03 13:50:00;4;2017-10-03 14:39:00;2017-10-04 02:24:00;2017-10-04 15:39:00;2017-10-05 12:42:00;;;;;;;;;;;;;;;2;2017-10-03 15:39:00;2017-10-04 16:39:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2574;Kuh;nein;2017-09-29 18:10:00;4;2017-09-29 18:32:00;2017-09-30 20:49:00;2017-10-01 08:50:00;2017-10-02 14:25:00;;;;;;;;;;;;;;;3;2017-09-29 19:32:00;2017-10-01 09:50:00;2017-10-02 15:25:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
527;Kuh;ja;2017-10-21 17:24:00;2;2017-10-24 10:41:00;2017-10-25 02:47:00;;;;;;;;;;;;;;;;;1;2017-10-24 11:41:00;;;;;;;;;2017-10-26 02:30:00;39,81666666666667;23,716666666666665;;;;;;;;;;;;;;;;;38,81666666666667;;;;;;;;
2576;Faerse;ja;2017-09-29 16:12:00;2;2017-10-07 04:39:00;2017-09-29 17:50:00;;;;;;;;;;;;;;;;;1;2017-10-07 05:26:00;;;;;;;;;2017-10-07 06:30:00;1,85;180,66666666666666;;;;;;;;;;;;;;;;;1,0666666666666667;;;;;;;;
2577;Kuh;nein;2017-10-03 23:00:00;1;2017-10-07 16:37:00;;;;;;;;;;;;;;;;;;1;2017-10-07 17:36:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2578;Faerse;ja;2017-09-29 16:02:00;2;2017-10-02 02:03:00;2017-09-30 09:32:00;;;;;;;;;;;;;;;;;2;2017-10-02 03:03:00;2017-09-30 10:31:00;;;;;;;;2017-10-02 02:00:00;-0,05;40,46666666666667;;;;;;;;;;;;;;;;;-1,05;39,483333333333334;;;;;;;
2579;Kuh;nein;2017-10-02 04:00:00;0;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1045;Kuh;ja;2017-09-29 16:15:00;1;2017-10-04 14:33:00;;;;;;;;;;;;;;;;;;1;2017-10-04 15:21:00;;;;;;;;;2017-10-04 15:30:00;0,95;;;;;;;;;;;;;;;;;;0,15;;;;;;;;
2584;Kuh;nein;2017-10-16 00:05:00;0;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2585;Kuh;nein;2017-10-10 00:08:00;0;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2588;Kuh;nein;2017-10-05 15:04:00;1;2017-10-06 00:17:00;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2589;Kuh;nein;2017-10-16 13:05:00;0;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2590;Kuh;nein;2017-10-06 23:00:00;2;2017-10-08 19:12:00;2017-10-09 00:46:00;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2592;Kuh;nein;2017-10-07 15:41:00;0;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2594;Kuh;nein;2017-10-16 02:10:00;1;2017-10-17 20:13:00;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2595;Faerse;ja;2017-10-11 16:10:00;1;2017-10-15 13:22:00;;;;;;;;;;;;;;;;;;1;2017-10-15 14:22:00;;;;;;;;;2017-10-15 16:00:00;2,6333333333333333;;;;;;;;;;;;;;;;;;1,6333333333333333;;;;;;;;
3620;Kuh;ja;2017-10-19 06:05:00;2;2017-10-21 19:44:00;2017-10-24 11:52:00;;;;;;;;;;;;;;;;;1;2017-10-24 12:52:00;;;;;;;;;2017-10-24 13:30:00;65,76666666666667;1,6333333333333333;;;;;;;;;;;;;;;;;0,6333333333333333;;;;;;;;
3621;Kuh;ja;2017-10-10 02:12:00;0;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;2017-10-12 20:27:00;;;;;;;;;;;;;;;;;;;;;;;;;;;
2600;Kuh;nein;2017-10-21 19:10:00;0;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9769;Kuh;nein;2017-10-26 01:05:00;1;2017-10-26 00:18:00;;;;;;;;;;;;;;;;;;1;2017-10-26 00:19:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2603;Kuh;nein;2017-10-19 12:05:00;0;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9774;Kuh;ja;2017-12-15 14:15:00;2;2017-12-17 09:24:00;2017-12-19 16:35:00;;;;;;;;;;;;;;;;;1;2017-12-19 17:35:00;;;;;;;;;2017-12-19 17:30:00;56,1;0,9166666666666666;;;;;;;;;;;;;;;;;-0,08333333333333333;;;;;;;;
3632;Kuh;ja;2017-10-24 15:06:00;0;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;2017-10-25 21:30:00;;;;;;;;;;;;;;;;;;;;;;;;;;;
3635;Kuh;ja;2017-10-30 01:19:00;1;2017-11-02 23:52:00;;;;;;;;;;;;;;;;;;1;2017-11-03 00:52:00;;;;;;;;;2017-11-03 00:55:00;1,05;;;;;;;;;;;;;;;;;;0,05;;;;;;;;
565;Kuh;ja;2017-10-17 13:08:00;2;2017-10-18 01:18:00;2017-10-21 21:52:00;;;;;;;;;;;;;;;;;1;2017-10-21 22:40:00;;;;;;;;;2017-10-21 21:30:00;92,2;-0,36666666666666664;;;;;;;;;;;;;;;;;-1,1666666666666667;;;;;;;;
9783;Kuh;nein;2017-09-29 16:30:00;0;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2617;Kuh;nein;2017-10-21 01:08:00;1;2017-10-21 16:58:00;;;;;;;;;;;;;;;;;;1;2017-10-21 17:25:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
570;Kuh;nein;2017-11-06 10:11:00;1;2017-11-06 11:55:00;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2619;Kuh;nein;2017-10-18 23:10:00;1;2017-10-19 12:07:00;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2621;Faerse;ja;2017-10-22 15:07:00;3;2017-10-30 01:16:00;2017-10-30 20:26:00;2017-10-31 21:46:00;;;;;;;;;;;;;;;;2;2017-10-30 21:15:00;2017-10-31 22:46:00;;;;;;;;2017-10-31 22:30:00;45,233333333333334;26,066666666666666;0,7333333333333333;;;;;;;;;;;;;;;;25,25;-0,26666666666666666;;;;;;;
2625;Faerse;ja;2017-10-24 23:10:00;1;2017-11-02 09:42:00;;;;;;;;;;;;;;;;;;1;2017-11-02 10:42:00;;;;;;;;;2017-11-02 10:45:00;1,05;;;;;;;;;;;;;;;;;;0,05;;;;;;;;
