Event Score;Anzahl zuvor;Anzahl danach;Anzahl pro Stunde;Anzahl pro Stunde
1;79;39;0,013327297623298592;0,020737510966952918
2;168;38;0,028341594945748904;0,020205779916518226
3;102;57;0,01720739693134755;0,03030866987477734
4;80;130;0,013495997593213764;0,06912503655650973
5;31;2;0,005229699067370334;0,0010634621008693804
6;0;0;0,0;0,0
7;0;0;0,0;0,0
8;0;0;0,0;0,0
9;6;5;0,0010121998194910324;0,0026586552521734507

Tragezeitraum vor Wechsel [h]:;5927,6833333333325
Tragezeitraum nach Wechsel [h]:;1880,6499999999999
