Cow-ID;SonT;HA 1h;HA 2h;SoffT;Event;Event-Score;Moocall-Score;Date/Time of Parturition;Kommentar;Valid Calving;dt HA1 [min];dt HA2 [min];TP HA1;TP HA2;HA1 strict;FP HA1;FP HA2;FP soft;FN HA1;FN HA2;FN soft;;;
1792;29.09.2017 16:25;;;29.09.2017 17:24;29.09.2017 18:15;2;;30.09.2017 04:00;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;;
1821;29.09.2017 18:10;29.09.2017 19:42;29.09.2017 20:31;;;6;;02.10.2017 00:50;;0;INVALID;INVALID;0;0;0;1;1;1;0;0;0;;;
1821;;30.09.2017 10:50;30.09.2017 11:50;30.09.2017 14:14;30.09.2017 13:03;2;;02.10.2017 00:50;;0;133;73;0;0;0;1;1;1;0;0;0;;Time threshold HA1 [min];180
9639;01.10.2017 04:00;01.10.2017 10:52;01.10.2017 11:36;01.10.2017 12:46;01.10.2017 10:30;1;;01.10.2017 14:05;;1;-22;-66;0;0;0;0;0;0;0;0;0;;Time threshold HA2 [min];120
369;02.10.2017 02:00;02.10.2017 10:48;02.10.2017 11:48;;02.10.2017 15:11;3;;05.10.2017 16:50;;0;263;203;0;0;0;1;1;1;0;0;0;;Time buffer HA1 [min];30
369;02.10.2017 15:12;02.10.2017 16:01;02.10.2017 16:48;02.10.2017 18:23;02.10.2017 17:05;2;;05.10.2017 16:50;;0;64;17;0;0;0;1;1;1;0;0;0;;Time buffer HA2 [min];30
921;03.10.2017 09:30;03.10.2017 12:36;;05.10.2017 21:18;05.10.2017 15:22;4;3;08.10.2017 00:50;;0;3046;INVALID;0;0;0;1;0;0;0;0;0;;;
1882;05.10.2017 15:30;;;;05.10.2017 20:15;3;;09.10.2017 16:20;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;;
622;05.10.2017 23:00;06.10.2017 17:38;06.10.2017 18:38;06.10.2017 21:13;06.10.2017 19:30;1;;06.10.2017 20:35;;1;112;52;1;1;1;0;0;0;0;0;0;;;
446;06.10.2017 23:30;;;07.10.2017 17:08;07.10.2017 16:13;4;2;12.10.2017 09:15;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;Event;
2572;07.10.2017 17:15;;;;07.10.2017 22:00;2;;10.10.2017 08:00;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;1;Kalbung
446;07.10.2017 23:00;;;;08.10.2017 15:17;4;2;12.10.2017 09:15;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;2;Abgefallen
1851;08.10.2017 15:20;;;;08.10.2017 16:18;2;0;12.10.2017 09:05;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;3;Gerutscht (>3cm)
1138;08.10.2017 17:13;;;09.10.2017 19:35;09.10.2017 18:32;2;0;14.10.2017 08:20;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;4;Geschwollen
1092;10.10.2017 01:16;10.10.2017 07:41;10.10.2017 08:41;;10.10.2017 09:45;1;0;10.10.2017 10:55;;1;124;64;1;1;1;0;0;0;0;0;0;;5;technische Probleme
1138;10.10.2017 11:25;;;;10.10.2017 13:45;2;0;14.10.2017 08:20;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;6;Event folgt noch
1138;10.10.2017 14:05;;;;10.10.2017 21:40;3;2;14.10.2017 08:20;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;7;"Meldungen nach dem ""Event 1"""
1138;10.10.2017 21:41;;;11.10.2017 01:02;11.10.2017 00:20;4;2;14.10.2017 08:20;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;8;Studie beendet
1851;10.10.2017 02:26;;;11.10.2017 12:09;11.10.2017 11:21;3;2;12.10.2017 09:05;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;9;Time for a break
2588;11.10.2017 16:05;;;;11.10.2017 18:05;3;1;15.10.2017 06:00;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;20;Ignore
2588;11.10.2017 18:06;;;;11.10.2017 19:10;2;1;15.10.2017 06:00;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;;
2588;11.10.2017 19:11;;;;12.10.2017 04:10;4;2;15.10.2017 06:00;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;;
1851;12.10.2017 04:17;12.10.2017 05:33;12.10.2017 06:33;;12.10.2017 06:15;1;1;12.10.2017 09:05;;1;42;-1800000001;1;0;0;0;0;0;0;0;0;;;
83;12.10.2017 07:17;12.10.2017 10:21;;12.10.2017 11:05;12.10.2017 09:30;1;1;12.10.2017 09:50;;1;-1000000003;INVALID;0;0;0;0;0;0;0;1;0;;;
3621;12.10.2017 12:15;;;;12.10.2017 20:27;1;0;12.10.2017 21:10;;1;INVALID;INVALID;0;0;0;0;0;0;1;1;1;;;
1231;13.10.2017 00:15;;;;13.10.2017 07:20;4;2;13.10.2017 17:35;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;;
9853;13.10.2017 07:30;;;;13.10.2017 11:00;2;0;15.10.2017 22:10;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;;
1803;13.10.2017 11:05;;;;13.10.2017 12:23;3;1;23.10.2017 04:40;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;;
1803;13.10.2017 12:33;;;;14.10.2017 07:38;3;1;23.10.2017 04:40;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;;
1803;14.10.2017 07:39;;;;14.10.2017 11:15;3;0;23.10.2017 04:40;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;;
