Cow-ID,SonT,HA 1h,HA 2h,SoffT,Event,Event-Score,Moocall-Score,Date/Time of Parturition,Kommentar
1792,29.09.2017 16:25,,,29.09.2017 17:24,29.09.2017 18:15,2,,30.09.2017 04:00,
1821,29.09.2017 18:10,29.09.2017 19:42,29.09.2017 20:31,,,6,,02.10.2017 00:50,
1821,,30.09.2017 10:50,30.09.2017 11:50,30.09.2017 14:14,30.09.2017 13:03,2,,02.10.2017 00:50,
9639,01.10.2017 04:00,01.10.2017 10:52,01.10.2017 11:36,01.10.2017 12:46,01.10.2017 10:30,1,,01.10.2017 14:05,
369,02.10.2017 02:00,02.10.2017 10:48,02.10.2017 11:48,,02.10.2017 15:11,3,,05.10.2017 16:50,
369,02.10.2017 15:12,02.10.2017 16:01,02.10.2017 16:48,02.10.2017 18:23,02.10.2017 17:05,2,,05.10.2017 16:50,
921,03.10.2017 09:30,03.10.2017 12:36,,05.10.2017 21:18,05.10.2017 15:22,4,3,08.10.2017 00:50,
1882,05.10.2017 15:30,,,,05.10.2017 20:15,3,,09.10.2017 16:20,
622,05.10.2017 23:00,06.10.2017 17:38,06.10.2017 18:38,06.10.2017 21:13,06.10.2017 19:30,1,,06.10.2017 20:35,
446,06.10.2017 23:30,,,07.10.2017 17:08,07.10.2017 16:13,4,2,12.10.2017 09:15,
2572,07.10.2017 17:15,,,,07.10.2017 22:00,2,,10.10.2017 08:00,
446,07.10.2017 23:00,,,,08.10.2017 15:17,4,2,12.10.2017 09:15,
1851,08.10.2017 15:20,,,,08.10.2017 16:18,2,0,12.10.2017 09:05,
1138,08.10.2017 17:13,,,09.10.2017 19:35,09.10.2017 18:32,2,0,14.10.2017 08:20,
1092,10.10.2017 01:16,10.10.2017 07:41,10.10.2017 08:41,,10.10.2017 09:45,1,0,10.10.2017 10:55,
1138,10.10.2017 11:25,,,,10.10.2017 13:45,2,0,14.10.2017 08:20,
1138,10.10.2017 14:05,,,,10.10.2017 21:40,3,2,14.10.2017 08:20,
1138,10.10.2017 21:41,,,11.10.2017 01:02,11.10.2017 00:20,4,2,14.10.2017 08:20,
