ID;Kuh/Faerse;Gekalbt (ja/nein);Umstallzeit;Echte Geburtszeit;Event (ja/nein);Event Score;SonT;Eventzeit;SoffT;Moocall Score;Alarm (ja/nein);Alarmtyp (HA1/HA2);Alarmzeit
514;Kuh;nein;;;ja;2;2017-10-02 03:00:00;2017-10-03 02:00:00;2017-10-03 03:19:00;;nein;;
514;Kuh;nein;;;ja;5;2017-10-04 01:00:00;2017-10-04 06:00:00;;;nein;;
514;Kuh;nein;;;ja;3;2017-10-04 06:01:00;2017-10-04 11:14:00;;;nein;;
514;Kuh;nein;;;ja;2;2017-10-04 11:15:00;2017-10-04 23:00:00;;;nein;;
514;Kuh;nein;;;ja;2;2017-10-04 23:01:00;2017-10-05 15:00:00;2017-10-05 15:29:00;;nein;;
514;Kuh;nein;;;nein;;;;;;ja;HA1h;2017-10-04 01:20:00
514;Kuh;nein;;;nein;;;;;;ja;HA1h;2017-10-04 13:54:00
514;Kuh;nein;;;nein;;;;;;ja;HA1h;2017-10-05 14:07:00
514;Kuh;nein;;;nein;;;;;;ja;HA2h;2017-10-05 15:17:00
3588;Kuh;ja;2017-11-10 12:30:00;2017-11-10 13:00:00;ja;5;2017-10-28 00:20:00;2017-10-28 00:21:00;;0;nein;;
3588;Kuh;ja;2017-11-10 12:30:00;2017-11-10 13:00:00;ja;5;2017-10-28 00:22:00;2017-10-28 01:14:00;;0;nein;;
3588;Kuh;ja;2017-11-10 12:30:00;2017-11-10 13:00:00;ja;5;2017-10-28 01:15:00;2017-10-28 02:08:00;;0;nein;;
3588;Kuh;ja;2017-11-10 12:30:00;2017-11-10 13:00:00;ja;5;2017-10-28 02:09:00;2017-10-28 03:06:00;;0;nein;;
3588;Kuh;ja;2017-11-10 12:30:00;2017-11-10 13:00:00;ja;5;2017-10-28 03:07:00;2017-10-28 06:11:00;;0;nein;;
3588;Kuh;ja;2017-11-10 12:30:00;2017-11-10 13:00:00;ja;5;2017-10-28 06:12:00;2017-10-28 07:16:00;;0;nein;;
3588;Kuh;ja;2017-11-10 12:30:00;2017-11-10 13:00:00;ja;4;2017-10-28 07:17:00;2017-10-29 23:07:00;;2;nein;;
3588;Kuh;ja;2017-11-10 12:30:00;2017-11-10 13:00:00;ja;2;2017-11-02 16:22:00;2017-11-02 22:30:00;;0;nein;;
3588;Kuh;ja;2017-11-10 12:30:00;2017-11-10 13:00:00;ja;4;2017-11-03 12:08:00;2017-11-06 04:12:00;;3;nein;;
3588;Kuh;ja;2017-11-10 12:30:00;2017-11-10 13:00:00;ja;9;2017-11-06 04:13:00;2017-11-06 11:39:00;;0;nein;;
3588;Kuh;ja;2017-11-10 12:30:00;2017-11-10 13:00:00;ja;4;2017-11-06 11:40:00;2017-11-07 01:23:00;;1;nein;;
3588;Kuh;ja;2017-11-10 12:30:00;2017-11-10 13:00:00;ja;4;2017-11-07 01:24:00;2017-11-08 18:27:00;2017-11-08 19:28:00;2;nein;;
3588;Kuh;ja;2017-11-10 12:30:00;2017-11-10 13:00:00;ja;5;2017-11-09 00:23:00;2017-11-09 14:08:00;;0;nein;;
3588;Kuh;ja;2017-11-10 12:30:00;2017-11-10 13:00:00;ja;1;2017-11-09 14:09:00;2017-11-10 12:30:00;2017-11-10 14:54:00;0;nein;;
3588;Kuh;ja;2017-11-10 12:30:00;2017-11-10 13:00:00;nein;;;;;;ja;HA1h;2017-11-03 09:08:00
3588;Kuh;ja;2017-11-10 12:30:00;2017-11-10 13:00:00;nein;;;;;;ja;HA1h;2017-11-07 00:04:00
3588;Kuh;ja;2017-11-10 12:30:00;2017-11-10 13:00:00;nein;;;;;;ja;HA1h;2017-11-08 11:04:00
3588;Kuh;ja;2017-11-10 12:30:00;2017-11-10 13:00:00;nein;;;;;;ja;HA1h;2017-11-09 15:02:00
3588;Kuh;ja;2017-11-10 12:30:00;2017-11-10 13:00:00;nein;;;;;;ja;HA1h;2017-11-10 10:20:00
3588;Kuh;ja;2017-11-10 12:30:00;2017-11-10 13:00:00;nein;;;;;;ja;HA2h;2017-11-08 12:04:00
3588;Kuh;ja;2017-11-10 12:30:00;2017-11-10 13:00:00;nein;;;;;;ja;HA2h;2017-11-09 16:02:00
3588;Kuh;ja;2017-11-10 12:30:00;2017-11-10 13:00:00;nein;;;;;;ja;HA2h;2017-11-10 11:20:00
5;Kuh;nein;;;ja;3;2017-10-03 08:20:00;2017-10-03 09:23:00;;;nein;;
5;Kuh;nein;;;ja;2;2017-10-03 13:55:00;2017-10-03 17:00:00;2017-10-03 15:17:00;;nein;;
2566;Faerse;ja;2017-10-09 17:30:00;2017-10-09 19:17:00;ja;2;2017-10-09 09:30:00;2017-10-09 10:07:00;;0;nein;;
2566;Faerse;ja;2017-10-09 17:30:00;2017-10-09 19:17:00;ja;1;2017-10-09 15:45:00;2017-10-09 17:30:00;;1;nein;;
2566;Faerse;ja;2017-10-09 17:30:00;2017-10-09 19:17:00;nein;;;;;;ja;HA1h;2017-10-09 17:44:00
3591;Kuh;ja;2017-11-01 11:30:00;2017-11-01 13:00:00;ja;1;2017-11-01 02:20:00;2017-11-01 11:30:00;2017-11-01 12:06:00;0;nein;;
3591;Kuh;ja;2017-11-01 11:30:00;2017-11-01 13:00:00;nein;;;;;;ja;HA1h;2017-11-01 05:27:00
3591;Kuh;ja;2017-11-01 11:30:00;2017-11-01 13:00:00;nein;;;;;;ja;HA1h;2017-11-01 09:24:00
3591;Kuh;ja;2017-11-01 11:30:00;2017-11-01 13:00:00;nein;;;;;;ja;HA2h;2017-11-01 06:27:00
3591;Kuh;ja;2017-11-01 11:30:00;2017-11-01 13:00:00;nein;;;;;;ja;HA2h;2017-11-01 10:13:00
2571;Faerse;ja;2017-10-06 07:30:00;2017-10-06 08:10:00;ja;1;2017-10-06 05:10:00;2017-10-06 07:30:00;;0;nein;;
