Kuh-ID;Umstalldatum, -zeit;Abkalbedatum, -zeit;Geburtsverlauf;Besonderheiten;Zeit zwischen Beginn Stage II und Partus
1796;29.09.2017 18:40;29.09.2017 20:15;1;;1:35
858;30.09.2017 01:30;30.09.2017 03:25;3;;1:55
2545;30.09.2017 20:30;30.09.2017 23:15;1;;2:45
1800;01.10.2017 03:30;01.10.2017 09:15;1;;5:45
9639;01.10.2017 10:30;01.10.2017 14:05;2;;3:35
2578;02.10.2017 02:00;02.10.2017 02:45;3;;0:45
9745;03.10.2017 03:30;03.10.2017 04:05;0;;0:35
398;03.10.2017 04:30;03.10.2017 06:50;3;;2:20
1188;03.10.2017 12:30;03.10.2017 13:10;0;;0:40
1052;04.10.2017 09:30;04.10.2017 13:30;1;;4:00
2558;04.10.2017 11:00;04.10.2017 11:30;3;;0:30
1045;04.10.2017 15:30;04.10.2017 16:20;1;;0:50
668;04.10.2017 17:30;04.10.2017 18:20;1;;0:50
1183;05.10.2017 01:30;05.10.2017 04:30;1;;3:00
369;05.10.2017 15:30;05.10.2017 16:50;1;;1:20
9795;06.10.2017 06:30;06.10.2017 07:30;3;;1:00
2571;06.10.2017 07:30;06.10.2017 08:10;1;;0:40
622;06.10.2017 19:30;06.10.2017 20:35;3;;1:05
3578;06.10.2017 22:15;06.10.2017 23:45;1;;1:30
2576;07.10.2017 06:30;07.10.2017 07:55;2;;1:25
3569;07.10.2017 16:00;07.10.2017 17:30;2;;1:30
1099;08.10.2017 00:30;08.10.2017 01:32;1;;1:02
1641;08.10.2017 21:30;08.10.2017 21:45;3;;0:15
9256;09.10.2017 04:30;09.10.2017 06:55;1;;2:25
2566;09.10.2017 17:30;09.10.2017 19:17;3;;1:47
2596;09.10.2017 18:30;09.10.2017 19:35;2;;1:05
8872;09.10.2017 23:30;10.10.2017 00:40;1;;1:10
1320;09.10.2017 23:30;10.10.2017 00:10;3;;0:40
1092;10.10.2017 09:45;10.10.2017 10:55;0;;1:10
2581;10.10.2017 12:40;10.10.2017 12:50;2;;0:10
1261;11.10.2017 02:00;11.10.2017 02:00;0;;0:00
1875;12.10.2017 02:00;12.10.2017 02:20;0;;0:20
1851;12.10.2017 06:15;12.10.2017 09:05;2;;2:50
446;12.10.2017 06:30;12.10.2017 09:15;2;;2:45
83;12.10.2017 09:30;12.10.2017 09:50;3;;0:20
3621;12.10.2017 20:27;12.10.2017 21:10;1;;0:43
1231;13.10.2017 16:30;13.10.2017 17:35;0;;1:05
1138;14.10.2017 07:35;14.10.2017 08:20;2;;0:45
3701;14.10.2017 09:30;14.10.2017 12:00;3;;2:30
9065;14.10.2017 22:15;14.10.2017 23:00;0;;0:45
