ID;Alarmtyp (HA1/HA2);Alarmzeitpunkt;Letztes Event;Naechstes Event (SonT);Lueckengroesse [h];Zeitunterschied letztem Event und Alarm [h]
2641;HA1;2017-11-05 11:26:00;2017-11-04 00:25:00;2017-11-05 13:02:00;36.61666666666667;35.016666666666666
565;HA1;2017-10-18 01:18:00;2017-10-17 14:00:00;2017-10-18 01:20:00;11.333333333333334;11.3
108;HA2;2017-10-08 17:23:00;2017-10-08 09:00:00;2017-10-08 18:12:00;9.2;8.383333333333333
108;HA1;2017-10-08 16:24:00;2017-10-08 09:00:00;2017-10-08 18:12:00;9.2;7.4
3940;HA1;2017-10-18 22:44:00;2017-10-18 15:32:00;2017-10-19 00:10:00;8.633333333333333;7.2
1885;HA2;2017-11-02 00:03:00;2017-11-01 17:14:00;2017-11-02 00:30:00;7.266666666666667;6.816666666666666
1223;HA1;2017-10-24 13:09:00;2017-10-24 09:45:00;2017-10-24 13:16:00;3.5166666666666666;3.4
1196;HA2;2017-11-03 13:36:00;2017-11-03 11:16:00;2017-11-03 15:09:00;3.8833333333333333;2.3333333333333335
2611;HA1;2017-10-21 21:26:00;2017-10-21 19:07:00;2017-10-22 02:10:00;7.05;2.316666666666667
3912;HA1;2017-10-18 13:25:00;2017-10-18 11:18:00;2017-10-19 01:20:00;14.033333333333333;2.1166666666666667
1183;HA1;2017-10-03 12:48:00;2017-10-03 11:17:00;2017-10-04 01:00:00;13.716666666666667;1.5166666666666666
1196;HA1;2017-11-03 12:37:00;2017-11-03 11:16:00;2017-11-03 15:09:00;3.8833333333333333;1.35
1899;HA2;2017-10-17 10:25:00;2017-10-17 09:21:00;2017-10-17 11:22:00;2.0166666666666666;1.0666666666666667
2658;HA2;2017-11-08 16:01:00;2017-11-08 15:06:00;2017-11-08 23:11:00;8.083333333333334;0.9166666666666666
618;HA2;2017-10-25 11:42:00;2017-10-25 11:19:00;2017-10-26 03:14:00;15.916666666666666;0.38333333333333336
3701;HA1;2017-10-11 11:16:00;2017-10-11 11:00:00;2017-10-11 23:28:00;12.466666666666667;0.26666666666666666
1899;HA1;2017-10-17 09:36:00;2017-10-17 09:21:00;2017-10-17 11:22:00;2.0166666666666666;0.25
141;HA1;2017-10-17 08:45:00;2017-10-17 08:30:00;2017-10-18 00:07:00;15.616666666666667;0.25
2611;HA1;2017-10-19 11:15:00;2017-10-19 11:02:00;2017-10-21 05:06:00;42.06666666666667;0.21666666666666667
1092;HA2;2017-10-08 19:35:00;2017-10-08 19:23:00;2017-10-09 05:35:00;10.2;0.2
1899;HA2;2017-10-10 22:25:00;2017-10-10 22:15:00;2017-10-11 17:05:00;18.833333333333332;0.16666666666666666
