ID;RN;FN;RP;FP;Sensitivitaet;Spezifitaet;PPV;NPV
3588;18;0;1;3;1.0;0.8571428571428571;0.25;1.0
2566;0;1;0;0;0.0;;;0.0
3591;0;0;1;0;1.0;;1.0;
2571;0;1;0;0;0.0;;;0.0
527;7;1;0;2;0.0;0.7777777777777778;0.0;0.875
2576;7;0;1;1;1.0;0.875;0.5;1.0
2578;2;1;0;1;0.0;0.6666666666666666;0.0;0.6666666666666666
1045;5;0;1;0;1.0;1.0;1.0;1.0
2595;9;0;1;0;1.0;1.0;1.0;1.0
3620;3;0;1;1;1.0;0.75;0.5;1.0
3621;2;1;0;0;0.0;1.0;;0.6666666666666666
9774;8;0;1;1;1.0;0.8888888888888888;0.5;1.0
3632;1;1;0;0;0.0;1.0;;0.5
3635;7;0;1;0;1.0;1.0;1.0;1.0
565;8;1;0;0;0.0;1.0;;0.8888888888888888
2621;11;0;1;2;1.0;0.8461538461538461;0.3333333333333333;1.0
2625;17;0;1;0;1.0;1.0;1.0;1.0
9795;4;0;1;0;1.0;1.0;1.0;1.0
1092;3;0;1;2;1.0;0.6;0.3333333333333333;1.0
1093;0;0;1;0;1.0;;1.0;
2630;4;1;0;0;0.0;1.0;;0.8
2633;2;0;1;1;1.0;0.6666666666666666;0.5;1.0
1099;3;0;1;0;1.0;1.0;1.0;1.0
2636;0;1;0;0;0.0;;;0.0
3661;8;1;0;1;0.0;0.8888888888888888;0.0;0.8888888888888888
2639;8;0;1;1;1.0;0.8888888888888888;0.5;1.0
2641;9;0;1;12;1.0;0.42857142857142855;0.07692307692307693;1.0
83;2;0;1;0;1.0;1.0;1.0;1.0
2650;0;0;1;0;1.0;;1.0;
97;0;0;1;0;1.0;;1.0;
2658;2;0;1;3;1.0;0.4;0.25;1.0
3685;2;0;1;0;1.0;1.0;1.0;1.0
9745;0;0;1;0;1.0;;1.0;
1641;0;0;1;0;1.0;;1.0;
618;3;1;0;2;0.0;0.6;0.0;0.75
622;2;0;1;0;1.0;1.0;1.0;1.0
1138;4;1;0;0;0.0;1.0;;0.8
3701;7;0;1;2;1.0;0.7777777777777778;0.3333333333333333;1.0
2581;1;0;1;0;1.0;1.0;1.0;1.0
1302;6;0;1;0;1.0;1.0;1.0;1.0
1164;1;0;1;0;1.0;1.0;1.0;1.0
141;1;0;1;0;1.0;1.0;1.0;1.0
9870;0;0;1;0;1.0;;1.0;
1897;2;1;0;0;0.0;1.0;;0.6666666666666666
1168;2;0;1;2;1.0;0.5;0.3333333333333333;1.0
2545;2;0;1;0;1.0;1.0;1.0;1.0
1175;7;1;0;0;0.0;1.0;;0.875
2712;2;0;1;1;1.0;0.6666666666666666;0.5;1.0
668;6;1;0;0;0.0;1.0;;0.8571428571428571
1181;1;0;1;0;1.0;1.0;1.0;1.0
1183;5;0;1;1;1.0;0.8333333333333334;0.5;1.0
5794;9;1;0;0;0.0;1.0;;0.9
1188;2;0;1;1;1.0;0.6666666666666666;0.5;1.0
9381;0;1;0;0;0.0;;;0.0
8872;0;0;1;2;1.0;0.0;0.3333333333333333;
1052;9;0;1;0;1.0;1.0;1.0;1.0
1195;0;1;0;0;0.0;;;0.0
1196;3;1;0;3;0.0;0.5;0.0;0.75
1366;8;1;0;1;0.0;0.8888888888888888;0.0;0.8888888888888888
2737;1;1;0;0;0.0;1.0;;0.5
181;1;0;1;2;1.0;0.3333333333333333;0.3333333333333333;1.0
1796;0;0;1;0;1.0;;1.0;
3768;0;0;1;0;1.0;;1.0;
2747;0;0;1;2;1.0;0.0;0.3333333333333333;
194;2;0;1;2;1.0;0.5;0.3333333333333333;1.0
1221;0;1;0;0;0.0;;;0.0
1223;10;0;1;0;1.0;1.0;1.0;1.0
1231;3;0;1;3;1.0;0.5;0.25;1.0
9337;0;0;1;1;1.0;0.0;0.5;
2596;1;0;1;0;1.0;1.0;1.0;1.0
1259;8;0;1;0;1.0;1.0;1.0;1.0
1261;0;0;1;1;1.0;0.0;0.5;
9256;6;0;1;3;1.0;0.6666666666666666;0.25;1.0
2601;0;0;1;1;1.0;0.0;0.5;
1279;1;0;1;0;1.0;1.0;1.0;1.0
1284;3;0;1;2;1.0;0.6;0.3333333333333333;1.0
1800;0;0;1;0;1.0;;1.0;
1803;13;0;1;0;1.0;1.0;1.0;1.0
1304;2;1;0;6;0.0;0.25;0.0;0.6666666666666666
2728;8;0;1;4;1.0;0.6666666666666666;0.2;1.0
1317;1;1;0;0;0.0;1.0;;0.5
1320;2;0;1;1;1.0;0.6666666666666666;0.5;1.0
9519;1;1;0;0;0.0;1.0;;0.5
1337;4;1;0;3;0.0;0.5714285714285714;0.0;0.8
1851;4;0;1;1;1.0;0.8;0.5;1.0
3909;9;0;1;6;1.0;0.6;0.14285714285714285;1.0
3912;2;1;0;1;0.0;0.6666666666666666;0.0;0.6666666666666666
6988;1;0;1;0;1.0;1.0;1.0;1.0
11;0;0;1;0;1.0;;1.0;
1875;0;1;0;0;0.0;;;0.0
1934;0;0;1;0;1.0;;1.0;
9046;4;0;1;2;1.0;0.6666666666666666;0.3333333333333333;1.0
858;0;0;1;0;1.0;;1.0;
3940;7;1;0;0;0.0;1.0;;0.875
3944;5;0;1;3;1.0;0.625;0.25;1.0
9065;5;1;0;0;0.0;1.0;;0.8333333333333334
1899;4;0;1;5;1.0;0.4444444444444444;0.16666666666666666;1.0
