ID;RN;FN;RP;FP;Sensitivitaet;Spezifitaet;PPV;NPV
3588;11;0;1;3;1.0;0.7857142857142857;0.25;1.0
2566;0;1;0;0;0.0;;;0.0
3591;0;0;1;0;1.0;;1.0;
2571;0;1;0;0;0.0;;;0.0
527;4;1;0;2;0.0;0.6666666666666666;0.0;0.8
2576;4;0;1;1;1.0;0.8;0.5;1.0
2578;2;0;1;0;1.0;1.0;1.0;1.0
1045;3;0;1;0;1.0;1.0;1.0;1.0
2595;6;0;1;0;1.0;1.0;1.0;1.0
3620;2;0;1;1;1.0;0.6666666666666666;0.5;1.0
3621;1;1;0;0;0.0;1.0;;0.5
9774;5;0;1;1;1.0;0.8333333333333334;0.5;1.0
3632;1;1;0;0;0.0;1.0;;0.5
3635;5;0;1;0;1.0;1.0;1.0;1.0
565;5;1;0;0;0.0;1.0;;0.8333333333333334
2621;7;0;1;2;1.0;0.7777777777777778;0.3333333333333333;1.0
2625;11;0;1;0;1.0;1.0;1.0;1.0
9795;2;0;1;0;1.0;1.0;1.0;1.0
1092;1;0;1;2;1.0;0.3333333333333333;0.3333333333333333;1.0
1093;0;0;1;0;1.0;;1.0;
2630;3;1;0;0;0.0;1.0;;0.75
2633;1;0;1;1;1.0;0.5;0.5;1.0
1099;2;0;1;0;1.0;1.0;1.0;1.0
2636;0;1;0;0;0.0;;;0.0
3661;4;1;0;2;0.0;0.6666666666666666;0.0;0.8
2639;5;0;1;1;1.0;0.8333333333333334;0.5;1.0
2641;2;0;1;12;1.0;0.14285714285714285;0.07692307692307693;1.0
83;1;0;1;0;1.0;1.0;1.0;1.0
2650;0;0;1;0;1.0;;1.0;
97;0;0;1;0;1.0;;1.0;
2658;1;0;1;2;1.0;0.3333333333333333;0.3333333333333333;1.0
3685;1;0;1;0;1.0;1.0;1.0;1.0
9745;0;0;1;0;1.0;;1.0;
1641;0;0;1;0;1.0;;1.0;
618;1;1;0;2;0.0;0.3333333333333333;0.0;0.5
622;1;0;1;0;1.0;1.0;1.0;1.0
1138;2;1;0;0;0.0;1.0;;0.6666666666666666
3701;5;0;1;1;1.0;0.8333333333333334;0.5;1.0
2581;1;0;1;0;1.0;1.0;1.0;1.0
1302;4;0;1;0;1.0;1.0;1.0;1.0
1164;1;0;1;0;1.0;1.0;1.0;1.0
141;1;0;1;0;1.0;1.0;1.0;1.0
9870;0;0;1;0;1.0;;1.0;
1897;1;1;0;0;0.0;1.0;;0.5
1168;1;0;1;1;1.0;0.5;0.5;1.0
2545;1;0;1;0;1.0;1.0;1.0;1.0
1175;4;1;0;0;0.0;1.0;;0.8
2712;2;0;1;0;1.0;1.0;1.0;1.0
668;4;1;0;0;0.0;1.0;;0.8
