ID;Kuh/Faerse;Gekalbt (ja/nein);Umstallzeit;Echte Geburtszeit;Geburtsverlauf;Event (ja/nein);Event Score;SonT;Eventzeit;SoffT;Moocall Score;Alarm (ja/nein);Alarmtyp (HA1/HA2);Alarmzeit
2566;Faerse;ja;2017-10-09 17:30:00;2017-10-09 19:17:00;3;ja;2;2017-10-09 09:30:00;2017-10-09 10:07:00;;0;nein;;
2566;Faerse;ja;2017-10-09 17:30:00;2017-10-09 19:17:00;3;ja;1;2017-10-09 15:45:00;2017-10-09 17:30:00;;1;nein;;
2566;Faerse;ja;2017-10-09 17:30:00;2017-10-09 19:17:00;3;nein;;;;;;ja;HA1h;2017-10-09 17:44:00
2571;Faerse;ja;2017-10-06 07:30:00;2017-10-06 08:10:00;1;ja;1;2017-10-06 05:10:00;2017-10-06 07:30:00;;0;nein;;
2576;Faerse;ja;2017-10-07 06:30:00;2017-10-07 07:55:00;2;ja;2;2017-09-29 16:12:00;2017-10-01 13:00:00;2017-10-01 12:51:00;;nein;;
2576;Faerse;ja;2017-10-07 06:30:00;2017-10-07 07:55:00;2;ja;2;2017-10-03 07:40:00;2017-10-03 11:50:00;2017-10-03 13:35:00;1;nein;;
2576;Faerse;ja;2017-10-07 06:30:00;2017-10-07 07:55:00;2;ja;2;2017-10-03 23:59:00;2017-10-04 01:00:00;;;nein;;
2576;Faerse;ja;2017-10-07 06:30:00;2017-10-07 07:55:00;2;ja;4;2017-10-05 00:01:00;2017-10-05 03:00:00;;;nein;;
2576;Faerse;ja;2017-10-07 06:30:00;2017-10-07 07:55:00;2;ja;2;2017-10-05 03:01:00;2017-10-05 14:00:00;2017-10-05 17:33:00;;nein;;
2576;Faerse;ja;2017-10-07 06:30:00;2017-10-07 07:55:00;2;ja;2;2017-10-05 16:00:00;2017-10-05 18:45:00;2017-10-05 19:22:00;;nein;;
2576;Faerse;ja;2017-10-07 06:30:00;2017-10-07 07:55:00;2;ja;3;2017-10-06 03:00:00;2017-10-06 05:00:00;;;nein;;
2576;Faerse;ja;2017-10-07 06:30:00;2017-10-07 07:55:00;2;ja;2;2017-10-06 05:01:00;2017-10-06 09:00:00;2017-10-06 09:53:00;;nein;;
2576;Faerse;ja;2017-10-07 06:30:00;2017-10-07 07:55:00;2;ja;1;2017-10-06 23:00:00;2017-10-07 06:30:00;2017-10-07 07:47:00;0;nein;;
2576;Faerse;ja;2017-10-07 06:30:00;2017-10-07 07:55:00;2;nein;;;;;;ja;HA1h;2017-10-07 04:39:00
2576;Faerse;ja;2017-10-07 06:30:00;2017-10-07 07:55:00;2;nein;;;;;;ja;HA1h;2017-09-29 17:50:00
2576;Faerse;ja;2017-10-07 06:30:00;2017-10-07 07:55:00;2;nein;;;;;;ja;HA2h;2017-10-07 05:26:00
2578;Faerse;ja;2017-10-02 02:00:00;2017-10-02 02:45:00;3;ja;2;2017-09-29 16:02:00;2017-09-29 17:00:00;;;nein;;
2578;Faerse;ja;2017-10-02 02:00:00;2017-10-02 02:45:00;3;ja;2;2017-09-29 17:01:00;2017-09-30 23:00:00;2017-09-30 12:29:00;;nein;;
2578;Faerse;ja;2017-10-02 02:00:00;2017-10-02 02:45:00;3;ja;1;2017-10-02 01:00:00;2017-10-02 02:00:00;2017-10-02 04:10:00;;nein;;
2578;Faerse;ja;2017-10-02 02:00:00;2017-10-02 02:45:00;3;nein;;;;;;ja;HA1h;2017-10-02 02:03:00
2578;Faerse;ja;2017-10-02 02:00:00;2017-10-02 02:45:00;3;nein;;;;;;ja;HA1h;2017-09-30 09:32:00
2578;Faerse;ja;2017-10-02 02:00:00;2017-10-02 02:45:00;3;nein;;;;;;ja;HA2h;2017-10-02 03:03:00
2578;Faerse;ja;2017-10-02 02:00:00;2017-10-02 02:45:00;3;nein;;;;;;ja;HA2h;2017-09-30 10:31:00
2595;Faerse;ja;2017-10-15 16:00:00;2017-10-15 17:15:00;1;ja;3;2017-10-11 16:10:00;2017-10-11 20:00:00;;0;nein;;
2595;Faerse;ja;2017-10-15 16:00:00;2017-10-15 17:15:00;1;ja;9;2017-10-11 20:01:00;2017-10-15 05:24:00;;0;nein;;
2595;Faerse;ja;2017-10-15 16:00:00;2017-10-15 17:15:00;1;ja;1;2017-10-15 05:25:00;2017-10-15 16:00:00;2017-10-15 18:04:00;2;nein;;
2595;Faerse;ja;2017-10-15 16:00:00;2017-10-15 17:15:00;1;nein;;;;;;ja;HA1h;2017-10-15 13:22:00
2595;Faerse;ja;2017-10-15 16:00:00;2017-10-15 17:15:00;1;nein;;;;;;ja;HA2h;2017-10-15 14:22:00
2621;Faerse;ja;2017-10-31 22:30:00;2017-10-31 23:45:00;3;ja;4;2017-10-22 15:07:00;2017-10-23 01:09:00;;2;nein;;
2621;Faerse;ja;2017-10-31 22:30:00;2017-10-31 23:45:00;3;ja;5;2017-10-25 13:07:00;2017-10-26 09:08:00;;0;nein;;
2621;Faerse;ja;2017-10-31 22:30:00;2017-10-31 23:45:00;3;ja;5;2017-10-26 09:09:00;2017-10-27 01:00:00;;0;nein;;
2621;Faerse;ja;2017-10-31 22:30:00;2017-10-31 23:45:00;3;ja;4;2017-10-27 01:01:00;2017-10-28 15:10:00;;2;nein;;
2621;Faerse;ja;2017-10-31 22:30:00;2017-10-31 23:45:00;3;ja;1;2017-10-29 15:07:00;2017-10-31 22:30:00;2017-10-31 23:12:00;2;nein;;
2621;Faerse;ja;2017-10-31 22:30:00;2017-10-31 23:45:00;3;nein;;;;;;ja;HA1h;2017-10-30 01:16:00
2621;Faerse;ja;2017-10-31 22:30:00;2017-10-31 23:45:00;3;nein;;;;;;ja;HA1h;2017-10-30 20:26:00
2621;Faerse;ja;2017-10-31 22:30:00;2017-10-31 23:45:00;3;nein;;;;;;ja;HA1h;2017-10-31 21:46:00
2621;Faerse;ja;2017-10-31 22:30:00;2017-10-31 23:45:00;3;nein;;;;;;ja;HA2h;2017-10-30 21:15:00
2621;Faerse;ja;2017-10-31 22:30:00;2017-10-31 23:45:00;3;nein;;;;;;ja;HA2h;2017-10-31 22:46:00
2625;Faerse;ja;2017-11-02 10:45:00;2017-11-02 12:55:00;3;ja;3;2017-10-24 23:10:00;2017-10-25 12:04:00;2017-10-25 10:23:00;0;nein;;
2625;Faerse;ja;2017-11-02 10:45:00;2017-11-02 12:55:00;3;ja;4;2017-10-25 12:05:00;2017-10-25 21:06:00;;2;nein;;
2625;Faerse;ja;2017-11-02 10:45:00;2017-11-02 12:55:00;3;ja;3;2017-10-26 03:10:00;2017-10-26 11:16:00;;2;nein;;
2625;Faerse;ja;2017-11-02 10:45:00;2017-11-02 12:55:00;3;ja;2;2017-10-27 00:03:00;2017-10-27 13:02:00;2017-10-27 13:19:00;0;nein;;
2625;Faerse;ja;2017-11-02 10:45:00;2017-11-02 12:55:00;3;ja;9;2017-10-27 20:05:00;2017-10-30 03:39:00;;0;nein;;
2625;Faerse;ja;2017-11-02 10:45:00;2017-11-02 12:55:00;3;ja;1;2017-10-30 04:24:00;2017-11-02 10:45:00;;0;nein;;
2625;Faerse;ja;2017-11-02 10:45:00;2017-11-02 12:55:00;3;nein;;;;;;ja;HA1h;2017-11-02 09:42:00
2625;Faerse;ja;2017-11-02 10:45:00;2017-11-02 12:55:00;3;nein;;;;;;ja;HA2h;2017-11-02 10:42:00
2630;Faerse;ja;2017-10-21 09:30:00;2017-10-21 09:45:00;2;ja;5;2017-10-18 23:15:00;2017-10-19 01:02:00;;0;nein;;
2630;Faerse;ja;2017-10-21 09:30:00;2017-10-21 09:45:00;2;ja;5;2017-10-19 01:03:00;2017-10-19 03:04:00;;0;nein;;
2630;Faerse;ja;2017-10-21 09:30:00;2017-10-21 09:45:00;2;ja;2;2017-10-19 04:01:00;2017-10-19 11:30:00;2017-10-19 12:07:00;1;nein;;
2630;Faerse;ja;2017-10-21 09:30:00;2017-10-21 09:45:00;2;ja;2;2017-10-19 13:00:00;2017-10-20 13:00:00;2017-10-20 14:02:00;0;nein;;
2630;Faerse;ja;2017-10-21 09:30:00;2017-10-21 09:45:00;2;ja;1;2017-10-20 23:11:00;2017-10-21 09:30:00;;0;nein;;
2633;Faerse;ja;2017-11-05 10:30:00;2017-11-05 12:15:00;2;ja;1;2017-11-04 00:28:00;2017-11-05 10:30:00;2017-11-05 11:00:00;0;nein;;
2633;Faerse;ja;2017-11-05 10:30:00;2017-11-05 12:15:00;2;nein;;;;;;ja;HA1h;2017-11-04 01:19:00
2633;Faerse;ja;2017-11-05 10:30:00;2017-11-05 12:15:00;2;nein;;;;;;ja;HA1h;2017-11-05 08:53:00
2633;Faerse;ja;2017-11-05 10:30:00;2017-11-05 12:15:00;2;nein;;;;;;ja;HA2h;2017-11-04 02:19:00
2633;Faerse;ja;2017-11-05 10:30:00;2017-11-05 12:15:00;2;nein;;;;;;ja;HA2h;2017-11-05 10:05:00
2636;Faerse;ja;2017-11-08 16:30:00;2017-11-08 18:40:00;3;ja;4;2017-11-06 01:11:00;2017-11-06 10:01:00;;2;nein;;
2636;Faerse;ja;2017-11-08 16:30:00;2017-11-08 18:40:00;3;ja;1;2017-11-08 15:20:00;2017-11-08 16:30:00;2017-11-08 20:08:00;0;nein;;
2639;Faerse;ja;2017-11-07 17:30:00;2017-11-07 17:45:00;1;ja;3;2017-11-03 01:06:00;2017-11-03 23:24:00;;1;nein;;
2639;Faerse;ja;2017-11-07 17:30:00;2017-11-07 17:45:00;1;ja;4;2017-11-03 23:25:00;2017-11-05 06:04:00;;2;nein;;
2639;Faerse;ja;2017-11-07 17:30:00;2017-11-07 17:45:00;1;ja;1;2017-11-06 00:10:00;2017-11-07 17:30:00;;1;nein;;
2639;Faerse;ja;2017-11-07 17:30:00;2017-11-07 17:45:00;1;nein;;;;;;ja;HA1h;2017-11-07 13:04:00
2639;Faerse;ja;2017-11-07 17:30:00;2017-11-07 17:45:00;1;nein;;;;;;ja;HA1h;2017-11-04 00:22:00
2639;Faerse;ja;2017-11-07 17:30:00;2017-11-07 17:45:00;1;nein;;;;;;ja;HA2h;2017-11-07 14:04:00
2639;Faerse;ja;2017-11-07 17:30:00;2017-11-07 17:45:00;1;nein;;;;;;ja;HA2h;2017-11-04 01:22:00
2641;Faerse;ja;2017-11-09 04:30:00;2017-11-09 04:50:00;2;ja;4;2017-10-22 15:05:00;2017-10-22 23:10:00;;2;nein;;
2641;Faerse;ja;2017-11-09 04:30:00;2017-11-09 04:50:00;2;ja;4;2017-10-24 00:05:00;2017-10-24 23:09:00;;2;nein;;
2641;Faerse;ja;2017-11-09 04:30:00;2017-11-09 04:50:00;2;ja;2;2017-10-25 05:07:00;2017-10-25 09:01:00;;0;nein;;
2641;Faerse;ja;2017-11-09 04:30:00;2017-11-09 04:50:00;2;ja;4;2017-10-25 09:02:00;2017-10-25 13:02:00;;2;nein;;
2641;Faerse;ja;2017-11-09 04:30:00;2017-11-09 04:50:00;2;ja;5;2017-10-25 23:05:00;2017-10-27 02:00:00;;0;nein;;
2641;Faerse;ja;2017-11-09 04:30:00;2017-11-09 04:50:00;2;ja;9;2017-10-27 02:01:00;2017-10-28 13:06:00;;0;nein;;
2641;Faerse;ja;2017-11-09 04:30:00;2017-11-09 04:50:00;2;ja;2;2017-10-28 13:07:00;2017-10-30 15:01:00;2017-10-30 19:43:00;0;nein;;
2641;Faerse;ja;2017-11-09 04:30:00;2017-11-09 04:50:00;2;ja;5;2017-11-01 22:01:00;2017-11-01 23:04:00;;0;nein;;
2641;Faerse;ja;2017-11-09 04:30:00;2017-11-09 04:50:00;2;ja;4;2017-11-01 23:10:00;2017-11-03 00:10:00;;3;nein;;
2641;Faerse;ja;2017-11-09 04:30:00;2017-11-09 04:50:00;2;ja;2;2017-11-03 00:11:00;2017-11-03 12:01:00;2017-11-03 11:57:00;3;nein;;
2641;Faerse;ja;2017-11-09 04:30:00;2017-11-09 04:50:00;2;ja;2;2017-11-03 14:02:00;2017-11-04 00:25:00;;3;nein;;
2641;Faerse;ja;2017-11-09 04:30:00;2017-11-09 04:50:00;2;ja;2;2017-11-05 13:02:00;2017-11-06 01:08:00;;4;nein;;
2641;Faerse;ja;2017-11-09 04:30:00;2017-11-09 04:50:00;2;ja;1;2017-11-08 23:16:00;2017-11-09 04:30:00;;0;nein;;
2641;Faerse;ja;2017-11-09 04:30:00;2017-11-09 04:50:00;2;nein;;;;;;ja;HA1h;2017-11-01 23:13:00
2641;Faerse;ja;2017-11-09 04:30:00;2017-11-09 04:50:00;2;nein;;;;;;ja;HA1h;2017-11-02 01:58:00
