Event Score;Anzahl zuvor;Anzahl danach;Anzahl pro Stunde;Anzahl pro Stunde
1;13;10;0,014845831747240195;0,02357193368429323
2;18;3;0,02055576703464027;0,007071580105287969
3;7;7;0,007993909402360104;0,016500353579005263
4;8;36;0,00913589645984012;0,08485896126345563
5;6;0;0,00685192234488009;0,0
6;0;0;0,0;0,0
7;0;0;0,0;0,0
8;0;0;0,0;0,0
9;3;1;0,003425961172440045;0,002357193368429323
""
Tragezeitraum vor Wechsel [h]:;875,6666666666669
Tragezeitraum nach Wechsel [h]:;424,2333333333334
