ID;RN;FN;RP;FP;Sensitivitaet;Spezifitaet;PPV;NPV
2566;0;1;0;0;0.0;;;0.0
2571;0;1;0;0;0.0;;;0.0
2576;25;0;1;1;1.0;0.9615384615384616;0.5;1.0
2578;9;1;0;1;0.0;0.9;0.0;0.9
2595;31;0;1;0;1.0;1.0;1.0;1.0
2621;44;0;1;2;1.0;0.9565217391304348;0.3333333333333333;1.0
2625;58;0;1;0;1.0;1.0;1.0;1.0
2630;15;1;0;0;0.0;1.0;;0.9375
2633;9;0;1;2;1.0;0.8181818181818182;0.3333333333333333;1.0
2636;3;1;0;0;0.0;1.0;;0.75
2639;29;1;0;2;0.0;0.9354838709677419;0.0;0.9666666666666667
2641;50;0;1;22;1.0;0.6944444444444444;0.043478260869565216;1.0
2650;1;0;1;0;1.0;1.0;1.0;1.0
2658;12;0;1;4;1.0;0.75;0.2;1.0
2581;4;0;1;1;1.0;0.8;0.5;1.0
2545;8;0;1;0;1.0;1.0;1.0;1.0
2712;10;0;1;1;1.0;0.9090909090909091;0.5;1.0
2737;5;1;0;0;0.0;1.0;;0.8333333333333334
2747;3;0;1;6;1.0;0.3333333333333333;0.14285714285714285;1.0
2596;4;0;1;0;1.0;1.0;1.0;1.0
2601;3;0;1;2;1.0;0.6;0.3333333333333333;1.0
2728;37;0;1;5;1.0;0.8809523809523809;0.16666666666666666;1.0
2558;10;0;1;3;1.0;0.7692307692307693;0.25;1.0
