ID;RN;FN;RP;FP;Sensitivitaet;Spezifitaet;PPV;NPV
2566;0;1;0;0;0.0;;;0.0
2571;0;1;0;0;0.0;;;0.0
2576;13;0;1;0;1.0;1.0;1.0;1.0
2578;4;1;0;1;0.0;0.8;0.0;0.8
2595;15;0;1;0;1.0;1.0;1.0;1.0
2621;22;1;0;1;0.0;0.9565217391304348;0.0;0.9565217391304348
2625;29;0;1;0;1.0;1.0;1.0;1.0
2630;7;1;0;0;0.0;1.0;;0.875
2633;4;0;1;1;1.0;0.8;0.5;1.0
2636;1;1;0;0;0.0;1.0;;0.5
2639;14;0;1;1;1.0;0.9333333333333333;0.5;1.0
2641;29;0;1;7;1.0;0.8055555555555556;0.125;1.0
2650;0;1;0;0;0.0;;;0.0
2658;6;0;1;2;1.0;0.75;0.3333333333333333;1.0
2581;2;0;1;0;1.0;1.0;1.0;1.0
2545;4;1;0;0;0.0;1.0;;0.8
2712;4;0;1;1;1.0;0.8;0.5;1.0
2737;2;1;0;0;0.0;1.0;;0.6666666666666666
2747;1;0;1;3;1.0;0.25;0.25;1.0
2596;2;1;0;0;0.0;1.0;;0.6666666666666666
2601;2;0;1;0;1.0;1.0;1.0;1.0
2728;19;0;1;2;1.0;0.9047619047619048;0.3333333333333333;1.0
2558;4;1;0;2;0.0;0.6666666666666666;0.0;0.8
