Event Score;Anzahl zuvor;Anzahl danach;Anzahl pro Stunde;Anzahl pro Stunde
1;66;29;0,013064089917887588;0,019911884190650573
2;150;35;0,02969111344974452;0,024031584368026555
3;95;50;0,018804371851504863;0,03433083481146651
4;72;94;0,014251734455877369;0,06454196944555704
5;25;2;0,004948518908290753;0,0013732333924586604
6;0;0;0,0;0,0
7;0;0;0,0;0,0
8;0;0;0,0;0,0
9;3;4;0,0005938222689948904;0,0027464667849173207
""
Tragezeitraum vor Wechsel [h]:;5052,016666666662
Tragezeitraum nach Wechsel [h]:;1456,4166666666663
