ID;RN;FN;RP;FP;Sensitivitaet;Spezifitaet;PPV;NPV
3588;10;0;1;3;1.0;0.7692307692307693;0.25;1.0
3591;0;0;1;0;1.0;;1.0;
527;4;1;0;2;0.0;0.6666666666666666;0.0;0.8
1045;3;0;1;0;1.0;1.0;1.0;1.0
3620;1;0;1;1;1.0;0.5;0.5;1.0
3621;1;1;0;0;0.0;1.0;;0.5
9774;5;0;1;1;1.0;0.8333333333333334;0.5;1.0
3632;1;1;0;0;0.0;1.0;;0.5
3635;4;0;1;0;1.0;1.0;1.0;1.0
565;5;1;0;0;0.0;1.0;;0.8333333333333334
9795;2;0;1;0;1.0;1.0;1.0;1.0
1092;1;0;1;2;1.0;0.3333333333333333;0.3333333333333333;1.0
1093;0;0;1;0;1.0;;1.0;
1099;2;0;1;0;1.0;1.0;1.0;1.0
3661;4;1;0;2;0.0;0.6666666666666666;0.0;0.8
83;1;0;1;0;1.0;1.0;1.0;1.0
97;0;0;1;0;1.0;;1.0;
3685;1;0;1;0;1.0;1.0;1.0;1.0
9745;0;0;1;0;1.0;;1.0;
1641;0;0;1;0;1.0;;1.0;
618;1;1;0;2;0.0;0.3333333333333333;0.0;0.5
622;1;0;1;0;1.0;1.0;1.0;1.0
1138;2;1;0;0;0.0;1.0;;0.6666666666666666
3701;5;0;1;1;1.0;0.8333333333333334;0.5;1.0
1302;3;0;1;0;1.0;1.0;1.0;1.0
1164;0;0;1;0;1.0;;1.0;
141;1;0;1;0;1.0;1.0;1.0;1.0
9870;0;0;1;0;1.0;;1.0;
1897;1;1;0;0;0.0;1.0;;0.5
1168;1;0;1;1;1.0;0.5;0.5;1.0
1175;4;1;0;0;0.0;1.0;;0.8
668;4;1;0;0;0.0;1.0;;0.8
1181;1;0;1;0;1.0;1.0;1.0;1.0
1183;3;0;1;1;1.0;0.75;0.5;1.0
5794;5;1;0;0;0.0;1.0;;0.8333333333333334
1188;1;0;1;1;1.0;0.5;0.5;1.0
9381;0;1;0;0;0.0;;;0.0
8872;0;0;1;1;1.0;0.0;0.5;
1052;6;0;1;0;1.0;1.0;1.0;1.0
1195;0;1;0;0;0.0;;;0.0
1196;0;1;0;3;0.0;0.0;0.0;0.0
1366;5;1;0;1;0.0;0.8333333333333334;0.0;0.8333333333333334
181;0;0;1;1;1.0;0.0;0.5;
1796;0;0;1;0;1.0;;1.0;
3768;0;0;1;0;1.0;;1.0;
194;0;0;1;2;1.0;0.0;0.3333333333333333;
1221;0;1;0;0;0.0;;;0.0
1223;6;0;1;0;1.0;1.0;1.0;1.0
1231;2;0;1;2;1.0;0.5;0.3333333333333333;1.0
9337;0;0;1;0;1.0;;1.0;
1259;5;0;1;0;1.0;1.0;1.0;1.0
1261;0;0;1;0;1.0;;1.0;
9256;1;0;1;5;1.0;0.16666666666666666;0.16666666666666666;1.0
1279;0;0;1;0;1.0;;1.0;
1284;1;0;1;2;1.0;0.3333333333333333;0.3333333333333333;1.0
1800;0;0;1;0;1.0;;1.0;
1803;8;0;1;0;1.0;1.0;1.0;1.0
1304;1;0;1;4;1.0;0.2;0.2;1.0
1317;1;1;0;0;0.0;1.0;;0.5
1320;1;0;1;1;1.0;0.5;0.5;1.0
9519;0;1;0;0;0.0;;;0.0
1337;1;1;0;3;0.0;0.25;0.0;0.5
1851;2;0;1;1;1.0;0.6666666666666666;0.5;1.0
3909;3;0;1;6;1.0;0.3333333333333333;0.14285714285714285;1.0
3912;1;1;0;1;0.0;0.5;0.0;0.5
6988;0;0;1;0;1.0;;1.0;
11;0;0;1;0;1.0;;1.0;
1875;0;0;1;0;1.0;;1.0;
1934;0;0;1;0;1.0;;1.0;
9046;2;0;1;2;1.0;0.5;0.3333333333333333;1.0
858;0;0;1;0;1.0;;1.0;
3940;4;1;0;0;0.0;1.0;;0.8
3944;2;0;1;3;1.0;0.4;0.25;1.0
9065;3;1;0;0;0.0;1.0;;0.75
1899;1;0;1;5;1.0;0.16666666666666666;0.16666666666666666;1.0
1903;0;0;1;0;1.0;;1.0;
369;1;1;0;1;0.0;0.5;0.0;0.5
1911;1;1;0;1;0.0;0.5;0.0;0.5
1915;2;0;1;1;1.0;0.6666666666666666;0.5;1.0
1920;0;0;1;0;1.0;;1.0;
398;3;1;0;1;0.0;0.75;0.0;0.75
1935;0;0;1;0;1.0;;1.0;
3994;0;0;1;0;1.0;;1.0;
1951;1;0;1;1;1.0;0.5;0.5;1.0
1955;7;0;1;1;1.0;0.875;0.5;1.0
9639;0;1;0;0;0.0;;;0.0
430;0;0;1;0;1.0;;1.0;
8635;0;0;1;0;1.0;;1.0;
446;4;0;1;1;1.0;0.8;0.5;1.0
1985;3;0;1;0;1.0;1.0;1.0;1.0
1986;1;0;1;0;1.0;1.0;1.0;1.0
2019;0;0;1;0;1.0;;1.0;
490;0;0;1;0;1.0;;1.0;
3569;0;1;0;0;0.0;;;0.0
3578;2;1;0;4;0.0;0.3333333333333333;0.0;0.6666666666666666
