ID;RN;FN;RP;FP;Sensitivitaet;Spezifitaet;PPV;NPV
3588;41;0;1;2;1.0;0.9534883720930233;0.3333333333333333;1.0
3591;0;0;1;1;1.0;0.0;0.5;
527;18;1;0;1;0.0;0.9473684210526315;0.0;0.9473684210526315
1045;10;0;1;0;1.0;1.0;1.0;1.0
3620;9;0;1;0;1.0;1.0;1.0;1.0
3621;5;1;0;0;0.0;1.0;;0.8333333333333334
9774;19;1;0;0;0.0;1.0;;0.95
3632;3;1;0;0;0.0;1.0;;0.75
3635;15;0;1;0;1.0;1.0;1.0;1.0
565;17;1;0;0;0.0;1.0;;0.9444444444444444
9795;8;1;0;0;0.0;1.0;;0.8888888888888888
1092;10;0;1;1;1.0;0.9090909090909091;0.5;1.0
1093;0;0;1;0;1.0;;1.0;
1099;6;0;1;0;1.0;1.0;1.0;1.0
3661;18;1;0;1;0.0;0.9473684210526315;0.0;0.9473684210526315
83;5;1;0;0;0.0;1.0;;0.8333333333333334
97;1;0;1;0;1.0;1.0;1.0;1.0
3685;5;1;0;0;0.0;1.0;;0.8333333333333334
9745;1;0;1;0;1.0;1.0;1.0;1.0
1641;0;1;0;0;0.0;;;0.0
618;10;1;0;1;0.0;0.9090909090909091;0.0;0.9090909090909091
622;4;0;1;0;1.0;1.0;1.0;1.0
1138;8;1;0;0;0.0;1.0;;0.8888888888888888
3701;17;0;1;2;1.0;0.8947368421052632;0.3333333333333333;1.0
1302;12;0;1;0;1.0;1.0;1.0;1.0
1164;3;0;1;0;1.0;1.0;1.0;1.0
141;3;0;1;0;1.0;1.0;1.0;1.0
9870;1;0;1;0;1.0;1.0;1.0;1.0
1897;4;1;0;0;0.0;1.0;;0.8
1168;5;0;1;3;1.0;0.625;0.25;1.0
1175;14;1;0;0;0.0;1.0;;0.9333333333333333
668;13;1;0;0;0.0;1.0;;0.9285714285714286
1181;3;1;0;0;0.0;1.0;;0.75
1183;13;0;1;0;1.0;1.0;1.0;1.0
5794;18;1;0;0;0.0;1.0;;0.9473684210526315
1188;6;0;1;0;1.0;1.0;1.0;1.0
9381;1;1;0;0;0.0;1.0;;0.5
8872;5;1;0;0;0.0;1.0;;0.8333333333333334
1052;19;1;0;0;0.0;1.0;;0.95
1195;0;1;0;0;0.0;;;0.0
1196;9;1;0;3;0.0;0.75;0.0;0.9
1366;19;1;0;0;0.0;1.0;;0.95
181;5;0;1;1;1.0;0.8333333333333334;0.5;1.0
1796;0;0;1;0;1.0;;1.0;
3768;1;1;0;0;0.0;1.0;;0.5
194;8;0;1;0;1.0;1.0;1.0;1.0
1221;1;1;0;0;0.0;1.0;;0.5
1223;20;0;1;0;1.0;1.0;1.0;1.0
1231;13;0;1;0;1.0;1.0;1.0;1.0
9337;2;1;0;0;0.0;1.0;;0.6666666666666666
1259;16;0;1;0;1.0;1.0;1.0;1.0
1261;1;1;0;1;0.0;0.5;0.0;0.5
9256;17;0;1;2;1.0;0.8947368421052632;0.3333333333333333;1.0
1279;2;1;0;0;0.0;1.0;;0.6666666666666666
1284;11;0;1;0;1.0;1.0;1.0;1.0
1800;0;0;1;0;1.0;;1.0;
1803;26;1;0;0;0.0;1.0;;0.9629629629629629
1304;12;1;0;4;0.0;0.75;0.0;0.9230769230769231
1317;3;1;0;0;0.0;1.0;;0.75
1320;7;0;1;0;1.0;1.0;1.0;1.0
9519;2;1;0;0;0.0;1.0;;0.6666666666666666
1337;14;1;0;0;0.0;1.0;;0.9333333333333333
1851;9;1;0;1;0.0;0.9;0.0;0.9
3909;24;0;1;7;1.0;0.7741935483870968;0.125;1.0
3912;7;1;0;0;0.0;1.0;;0.875
6988;3;0;1;0;1.0;1.0;1.0;1.0
11;0;1;0;0;0.0;;;0.0
1875;1;0;1;0;1.0;1.0;1.0;1.0
1934;0;1;0;0;0.0;;;0.0
9046;11;0;1;2;1.0;0.8461538461538461;0.3333333333333333;1.0
858;0;0;1;1;1.0;0.0;0.5;
3940;14;1;0;0;0.0;1.0;;0.9333333333333333
3944;16;0;1;0;1.0;1.0;1.0;1.0
9065;11;1;0;0;0.0;1.0;;0.9166666666666666
1899;13;1;0;6;0.0;0.6842105263157895;0.0;0.9285714285714286
1903;0;0;1;0;1.0;;1.0;
369;4;1;0;2;0.0;0.6666666666666666;0.0;0.8
1911;8;1;0;0;0.0;1.0;;0.8888888888888888
1915;6;0;1;3;1.0;0.6666666666666666;0.25;1.0
1920;0;0;1;0;1.0;;1.0;
398;13;1;0;0;0.0;1.0;;0.9285714285714286
1935;2;1;0;0;0.0;1.0;;0.6666666666666666
3994;2;1;0;0;0.0;1.0;;0.6666666666666666
1951;6;0;1;0;1.0;1.0;1.0;1.0
1955;26;1;0;0;0.0;1.0;;0.9629629629629629
9639;1;1;0;0;0.0;1.0;;0.5
430;2;0;1;0;1.0;1.0;1.0;1.0
8635;0;1;0;0;0.0;;;0.0
446;16;0;1;0;1.0;1.0;1.0;1.0
1985;10;0;1;0;1.0;1.0;1.0;1.0
1986;4;0;1;0;1.0;1.0;1.0;1.0
2019;1;0;1;0;1.0;1.0;1.0;1.0
490;2;0;1;0;1.0;1.0;1.0;1.0
3569;1;1;0;0;0.0;1.0;;0.5
3578;18;1;0;2;0.0;0.9;0.0;0.9473684210526315
