;;HA1h + HA2h;;;;;;;HA1h;;;;;;;HA2h;;;;;
Zeitraum VP;;Sensitivität;Spezifität;CI se-;CI se+;CI sp-;CI sp+;;Sensitivität;Spezifität;CI se-;CI se+;CI sp-;CI sp+;;Sensitivität;Spezifität;CI se-;CI se+;CI sp-;CI sp+
1h;;0.37;0.94;0.29; 0.47;0.94; 0.95;;0.19;0.96;0.13; 0.28;0.95; 0.97;;0.19;0.98;0.12; 0.27;0.98; 0.98
2h;;0.61;0.92;0.52; 0.70;0.91; 0.93;;0.43;0.93;0.34; 0.53;0.92; 0.94;;0.39;0.97;0.30; 0.48;0.96; 0.98
3h;;0.67;0.89;0.58; 0.75;0.88; 0.91;;0.62;0.91;0.52; 0.71;0.90; 0.92;;0.45;0.96;0.36; 0.54;0.95; 0.97
4h;;0.69;0.88;0.60; 0.78;0.86; 0.89;;0.66;0.89;0.57; 0.75;0.87; 0.90;;0.47;0.94;0.38; 0.57;0.93; 0.96
5h;;0.69;0.85;0.60; 0.78;0.83; 0.87;;0.69;0.87;0.59; 0.77;0.85; 0.89;;0.48;0.94;0.39; 0.58;0.92; 0.95
6h;;0.69;0.83;0.60; 0.78;0.81; 0.86;;0.69;0.85;0.59; 0.77;0.82; 0.87;;0.48;0.93;0.39; 0.58;0.91; 0.94
7h;;0.69;0.81;0.60; 0.78;0.78; 0.84;;0.69;0.83;0.59; 0.77;0.80; 0.85;;0.48;0.92;0.39; 0.58;0.90; 0.94
8h;;0.69;0.80;0.60; 0.78;0.76; 0.83;;0.69;0.80;0.59; 0.77;0.77; 0.83;;0.48;0.91;0.39; 0.58;0.88; 0.93
9h;;0.69;0.78;0.60; 0.78;0.75; 0.81;;0.69;0.79;0.59; 0.77;0.75; 0.82;;0.48;0.89;0.39; 0.58;0.86; 0.92
10h;;0.70;0.76;0.61; 0.78;0.72; 0.80;;0.69;0.78;0.60; 0.78;0.74; 0.81;;0.48;0.89;0.39; 0.58;0.86; 0.91
11h;;0.70;0.75;0.61; 0.78;0.70; 0.79;;0.69;0.76;0.60; 0.78;0.72; 0.80;;0.49;0.87;0.40; 0.59;0.84; 0.90
12h;;0.71;0.73;0.62; 0.79;0.68; 0.77;;0.69;0.74;0.60; 0.78;0.70; 0.78;;0.50;0.87;0.41; 0.59;0.83; 0.90
13h;;0.71;0.73;0.62; 0.79;0.68; 0.77;;0.70;0.74;0.61; 0.78;0.70; 0.79;;0.50;0.87;0.41; 0.59;0.83; 0.90
14h;;0.72;0.72;0.63; 0.80;0.67; 0.76;;0.70;0.72;0.61; 0.78;0.67; 0.77;;0.52;0.87;0.42; 0.61;0.83; 0.90
15h;;0.72;0.71;0.63; 0.80;0.65; 0.76;;0.71;0.72;0.62; 0.79;0.66; 0.77;;0.52;0.87;0.42; 0.61;0.83; 0.90
16h;;0.72;0.69;0.63; 0.80;0.63; 0.74;;0.71;0.70;0.62; 0.79;0.65; 0.75;;0.52;0.85;0.42; 0.61;0.81; 0.89
24h;;0.75;0.62;0.67; 0.83;0.54; 0.69;;0.75;0.63;0.66; 0.82;0.55; 0.70;;0.53;0.82;0.43; 0.62;0.76; 0.87
