ID,RN,FN,RP,FP,Sensitivitaet,Spezifitaet,PPV,NPV
3588,103,0,1,5,1,0.953703703703704,0.166666666666667,1
2566,3,1,0,0,0,1,,0.75
3591,1,0,1,2,1,0.333333333333333,0.333333333333333,1
2571,1,1,0,0,0,1,,0.5
527,33,1,0,3,0,0.916666666666667,0,0.970588235294118
2576,59,0,1,1,1,0.983333333333333,0.5,1
2578,19,1,0,1,0,0.95,0,0.95
1045,39,0,1,0,1,1,1,1
2595,31,0,1,0,1,1,1,1
3620,41,0,1,1,1,0.976190476190476,0.5,1
3621,23,1,0,0,0,1,,0.958333333333333
9774,32,0,1,1,1,0.96969696969697,0.5,1
3632,11,1,0,0,0,1,,0.916666666666667
3635,31,0,1,0,1,1,1,1
565,34,1,0,1,0,0.971428571428571,0,0.971428571428571
2621,72,0,1,2,1,0.972972972972973,0.333333333333333,1
2625,67,0,1,0,1,1,1,1
9795,13,0,1,0,1,1,1,1
1092,71,0,1,3,1,0.959459459459459,0.25,1
1093,0,0,1,1,1,0,0.5,
2630,20,1,0,0,0,1,,0.952380952380952
2633,9,0,1,2,1,0.818181818181818,0.333333333333333,1
1099,23,0,1,0,1,1,1,1
2636,22,1,0,0,0,1,,0.956521739130435
3661,32,1,0,2,0,0.941176470588235,0,0.96969696969697
2639,36,1,0,2,0,0.947368421052632,0,0.972972972972973
83,20,1,0,1,0,0.952380952380952,0,0.952380952380952
2650,1,0,1,0,1,1,1,1
97,2,0,1,0,1,1,1,1
2658,15,0,1,4,1,0.789473684210526,0.2,1
3685,8,0,1,0,1,1,1,1
9745,2,0,1,0,1,1,1,1
1641,0,0,1,0,1,,1,
618,22,1,0,3,0,0.88,0,0.956521739130435
622,6,0,1,0,1,1,1,1
1138,45,1,0,0,0,1,,0.978260869565217
3701,62,0,1,4,1,0.939393939393939,0.2,1
2581,4,0,1,1,1,0.8,0.5,1
1302,21,0,1,0,1,1,1,1
1164,4,0,1,1,1,0.8,0.5,1
