ID;RN;FN;RP;FP;Sensitivitaet;Spezifitaet;PPV;NPV
3588;102;0;1;5;1.0;0.9532710280373832;0.16666666666666666;1.0
2566;1;1;0;0;0.0;1.0;;0.5
3591;1;0;1;3;1.0;0.25;0.25;1.0
2571;1;1;0;0;0.0;1.0;;0.5
527;47;1;0;2;0.0;0.9591836734693877;0.0;0.9791666666666666
2576;39;0;1;1;1.0;0.975;0.5;1.0
2578;13;1;0;2;0.0;0.8666666666666667;0.0;0.9285714285714286
1045;26;0;1;0;1.0;1.0;1.0;1.0
2595;46;0;1;1;1.0;0.9787234042553191;0.5;1.0
3620;22;0;1;1;1.0;0.9565217391304348;0.5;1.0
3621;12;1;0;0;0.0;1.0;;0.9230769230769231
9774;48;0;1;1;1.0;0.9795918367346939;0.5;1.0
3632;9;1;0;0;0.0;1.0;;0.9
3635;38;0;1;0;1.0;1.0;1.0;1.0
565;42;1;0;1;0.0;0.9767441860465116;0.0;0.9767441860465116
2621;66;0;1;3;1.0;0.9565217391304348;0.25;1.0
2625;88;0;1;0;1.0;1.0;1.0;1.0
9795;20;0;1;0;1.0;1.0;1.0;1.0
1092;26;0;1;3;1.0;0.896551724137931;0.25;1.0
1093;1;1;0;1;0.0;0.5;0.0;0.5
2630;22;1;0;0;0.0;1.0;;0.9565217391304348
2633;16;0;1;1;1.0;0.9411764705882353;0.5;1.0
1099;16;0;1;1;1.0;0.9411764705882353;0.5;1.0
2636;5;1;0;0;0.0;1.0;;0.8333333333333334
3661;47;1;0;2;0.0;0.9591836734693877;0.0;0.9791666666666666
2639;44;1;0;3;0.0;0.9361702127659575;0.0;0.9777777777777777
83;13;1;0;1;0.0;0.9285714285714286;0.0;0.9285714285714286
2650;1;0;1;0;1.0;1.0;1.0;1.0
97;1;0;1;1;1.0;0.5;0.5;1.0
2658;20;0;1;5;1.0;0.8;0.16666666666666666;1.0
3685;13;0;1;0;1.0;1.0;1.0;1.0
9745;3;0;1;0;1.0;1.0;1.0;1.0
1641;0;0;1;0;1.0;;1.0;
618;26;1;0;2;0.0;0.9285714285714286;0.0;0.9629629629629629
622;10;0;1;0;1.0;1.0;1.0;1.0
1138;21;1;0;0;0.0;1.0;;0.9545454545454546
3701;41;1;0;7;0.0;0.8541666666666666;0.0;0.9761904761904762
9065;29;1;0;0;0.0;1.0;;0.9666666666666667
2581;5;0;1;2;1.0;0.7142857142857143;0.3333333333333333;1.0
1164;6;1;0;1;0.0;0.8571428571428571;0.0;0.8571428571428571
141;7;0;1;1;1.0;0.875;0.5;1.0
9870;3;0;1;0;1.0;1.0;1.0;1.0
1168;14;0;1;6;1.0;0.7;0.14285714285714285;1.0
2545;13;0;1;0;1.0;1.0;1.0;1.0
2712;15;0;1;1;1.0;0.9375;0.5;1.0
668;33;1;0;0;0.0;1.0;;0.9705882352941176
1181;9;0;1;0;1.0;1.0;1.0;1.0
1183;30;0;1;3;1.0;0.9090909090909091;0.25;1.0
5794;45;1;0;0;0.0;1.0;;0.9782608695652174
1188;15;0;1;1;1.0;0.9375;0.5;1.0
9381;2;1;0;0;0.0;1.0;;0.6666666666666666
8872;8;0;1;4;1.0;0.6666666666666666;0.2;1.0
1052;48;1;0;0;0.0;1.0;;0.9795918367346939
1195;0;1;0;0;0.0;;;0.0
1196;25;1;0;6;0.0;0.8064516129032258;0.0;0.9615384615384616
1366;47;1;0;1;0.0;0.9791666666666666;0.0;0.9791666666666666
2737;8;0;1;0;1.0;1.0;1.0;1.0
3569;3;1;0;0;0.0;1.0;;0.75
181;12;0;1;3;1.0;0.8;0.25;1.0
1796;1;0;1;0;1.0;1.0;1.0;1.0
3768;4;0;1;0;1.0;1.0;1.0;1.0
2747;8;1;0;5;0.0;0.6153846153846154;0.0;0.8888888888888888
194;18;0;1;3;1.0;0.8571428571428571;0.25;1.0
1221;4;1;0;0;0.0;1.0;;0.8
1223;50;0;1;2;1.0;0.9615384615384616;0.3333333333333333;1.0
1231;27;0;1;6;1.0;0.8181818181818182;0.14285714285714285;1.0
858;2;0;1;1;1.0;0.6666666666666666;0.5;1.0
9337;5;0;1;1;1.0;0.8333333333333334;0.5;1.0
2596;6;1;0;1;0.0;0.8571428571428571;0.0;0.8571428571428571
1259;39;0;1;1;1.0;0.975;0.5;1.0
1261;5;0;1;2;1.0;0.7142857142857143;0.3333333333333333;1.0
9256;40;0;1;8;1.0;0.8333333333333334;0.1111111111111111;1.0
2601;5;0;1;2;1.0;0.7142857142857143;0.3333333333333333;1.0
1279;3;1;0;2;0.0;0.6;0.0;0.75
1284;27;0;1;2;1.0;0.9310344827586207;0.3333333333333333;1.0
1800;1;0;1;0;1.0;1.0;1.0;1.0
1803;65;0;1;0;1.0;1.0;1.0;1.0
1302;30;0;1;1;1.0;0.967741935483871;0.5;1.0
2728;57;0;1;6;1.0;0.9047619047619048;0.14285714285714285;1.0
1317;9;1;0;0;0.0;1.0;;0.9
1320;15;0;1;2;1.0;0.8823529411764706;0.3333333333333333;1.0
9519;7;1;0;0;0.0;1.0;;0.875
1337;34;1;0;3;0.0;0.918918918918919;0.0;0.9714285714285714
1851;25;0;1;2;1.0;0.9259259259259259;0.3333333333333333;1.0
3912;16;1;0;2;0.0;0.8888888888888888;0.0;0.9411764705882353
6988;6;0;1;1;1.0;0.8571428571428571;0.5;1.0
11;2;0;1;0;1.0;1.0;1.0;1.0
1875;4;0;1;0;1.0;1.0;1.0;1.0
1934;0;0;1;0;1.0;;1.0;
9046;27;1;0;6;0.0;0.8181818181818182;0.0;0.9642857142857143
3940;34;1;0;1;0.0;0.9714285714285714;0.0;0.9714285714285714
3944;37;0;1;3;1.0;0.925;0.25;1.0
1897;11;1;0;0;0.0;1.0;;0.9166666666666666
1903;0;0;1;1;1.0;0.0;0.5;
369;12;1;0;4;0.0;0.75;0.0;0.9230769230769231
1911;19;1;0;1;0.0;0.95;0.0;0.95
1915;17;1;0;7;0.0;0.7083333333333334;0.0;0.9444444444444444
1920;1;0;1;1;1.0;0.5;0.5;1.0
1175;37;1;0;0;0.0;1.0;;0.9736842105263158
398;32;1;0;1;0.0;0.9696969696969697;0.0;0.9696969696969697
1935;5;0;1;0;1.0;1.0;1.0;1.0
3994;7;0;1;0;1.0;1.0;1.0;1.0
1951;14;0;1;2;1.0;0.875;0.3333333333333333;1.0
1955;64;0;1;1;1.0;0.9846153846153847;0.5;1.0
9639;3;1;0;0;0.0;1.0;;0.75
430;5;1;0;1;0.0;0.8333333333333334;0.0;0.8333333333333334
8635;1;0;1;1;1.0;0.5;0.5;1.0
446;39;1;0;2;0.0;0.9512195121951219;0.0;0.975
1985;25;0;1;1;1.0;0.9615384615384616;0.5;1.0
1986;10;0;1;2;1.0;0.8333333333333334;0.3333333333333333;1.0
2019;2;0;1;1;1.0;0.6666666666666666;0.5;1.0
490;3;0;1;2;1.0;0.6;0.3333333333333333;1.0
3578;44;1;0;6;0.0;0.88;0.0;0.9777777777777777
2558;14;0;1;5;1.0;0.7368421052631579;0.16666666666666666;1.0
