ID;RN;FN;RP;FP;Sensitivitaet;Spezifitaet;PPV;NPV
3588;69;0;1;2;1.0;0.971830985915493;0.3333333333333333;1.0
2566;0;1;0;0;0.0;;;0.0
3591;2;0;1;1;1.0;0.6666666666666666;0.5;1.0
2571;0;1;0;0;0.0;;;0.0
527;32;1;0;1;0.0;0.9696969696969697;0.0;0.9696969696969697
2576;26;0;1;0;1.0;1.0;1.0;1.0
2578;9;1;0;1;0.0;0.9;0.0;0.9
1045;17;0;1;0;1.0;1.0;1.0;1.0
2595;31;0;1;0;1.0;1.0;1.0;1.0
3620;15;0;1;0;1.0;1.0;1.0;1.0
3621;8;1;0;0;0.0;1.0;;0.8888888888888888
9774;32;1;0;0;0.0;1.0;;0.9696969696969697
3632;6;1;0;0;0.0;1.0;;0.8571428571428571
3635;25;0;1;0;1.0;1.0;1.0;1.0
565;28;1;0;0;0.0;1.0;;0.9655172413793104
2621;45;1;0;1;0.0;0.9782608695652174;0.0;0.9782608695652174
2625;58;0;1;0;1.0;1.0;1.0;1.0
9795;13;1;0;0;0.0;1.0;;0.9285714285714286
1092;18;0;1;1;1.0;0.9473684210526315;0.5;1.0
1093;1;0;1;0;1.0;1.0;1.0;1.0
2630;15;1;0;0;0.0;1.0;;0.9375
2633;10;0;1;1;1.0;0.9090909090909091;0.5;1.0
1099;11;0;1;0;1.0;1.0;1.0;1.0
2636;3;1;0;0;0.0;1.0;;0.75
3661;31;1;0;1;0.0;0.96875;0.0;0.96875
2639;29;1;0;2;0.0;0.9354838709677419;0.0;0.9666666666666667
83;9;1;0;0;0.0;1.0;;0.9
2650;1;1;0;0;0.0;1.0;;0.5
97;1;0;1;0;1.0;1.0;1.0;1.0
2658;13;0;1;3;1.0;0.8125;0.25;1.0
3685;8;1;0;0;0.0;1.0;;0.8888888888888888
9745;2;0;1;0;1.0;1.0;1.0;1.0
1641;0;1;0;0;0.0;;;0.0
618;17;1;0;1;0.0;0.9444444444444444;0.0;0.9444444444444444
622;6;0;1;0;1.0;1.0;1.0;1.0
1138;14;1;0;0;0.0;1.0;;0.9333333333333333
3701;30;0;1;2;1.0;0.9375;0.3333333333333333;1.0
9065;19;1;0;0;0.0;1.0;;0.95
2581;4;1;0;1;0.0;0.8;0.0;0.8
1164;5;0;1;0;1.0;1.0;1.0;1.0
141;5;0;1;0;1.0;1.0;1.0;1.0
9870;2;0;1;0;1.0;1.0;1.0;1.0
1168;10;0;1;3;1.0;0.7692307692307693;0.25;1.0
2545;9;1;0;0;0.0;1.0;;0.9
2712;10;0;1;1;1.0;0.9090909090909091;0.5;1.0
668;22;1;0;0;0.0;1.0;;0.9565217391304348
1181;6;1;0;0;0.0;1.0;;0.8571428571428571
1183;22;0;1;0;1.0;1.0;1.0;1.0
5794;30;1;0;0;0.0;1.0;;0.967741935483871
1188;11;0;1;0;1.0;1.0;1.0;1.0
9381;1;1;0;0;0.0;1.0;;0.5
8872;8;1;0;0;0.0;1.0;;0.8888888888888888
1052;32;1;0;0;0.0;1.0;;0.9696969696969697
1195;0;1;0;0;0.0;;;0.0
1196;18;1;0;3;0.0;0.8571428571428571;0.0;0.9473684210526315
1366;32;1;0;0;0.0;1.0;;0.9696969696969697
2737;5;1;0;0;0.0;1.0;;0.8333333333333334
3569;2;1;0;0;0.0;1.0;;0.6666666666666666
181;9;0;1;1;1.0;0.9;0.5;1.0
1796;0;0;1;0;1.0;;1.0;
3768;3;1;0;0;0.0;1.0;;0.75
2747;5;1;0;4;0.0;0.5555555555555556;0.0;0.8333333333333334
194;14;0;1;0;1.0;1.0;1.0;1.0
1221;2;1;0;0;0.0;1.0;;0.6666666666666666
1223;34;0;1;0;1.0;1.0;1.0;1.0
1231;22;0;1;0;1.0;1.0;1.0;1.0
858;1;0;1;1;1.0;0.5;0.5;1.0
9337;4;1;0;0;0.0;1.0;;0.8
2596;4;1;0;0;0.0;1.0;;0.8
1259;26;0;1;1;1.0;0.9629629629629629;0.5;1.0
1261;3;1;0;1;0.0;0.75;0.0;0.75
9256;29;1;0;3;0.0;0.90625;0.0;0.9666666666666667
